from_cui	to_cui	level
C0025681	C2935023	Moderate
C0055147	C3495673	Moderate
C0050393	C0169964	Moderate
C0027360	C0030800	Moderate
C0244713	C1609165	Moderate
C0022625	C2606556	Major
C0010976	C0081876	Unknown
C0913246	C3264621	Moderate
C0033405	C0120107	Moderate
C1176306	C4305843	Major
C0064585	C0526371	Moderate
C0014806	C0076840	Unknown
C0020823	C0040979	Moderate
C0032950	C0540694	Unknown
C0040979	C0293359	Moderate
C0040864	C0982172	Moderate
C0025631	C0074769	Moderate
C0085170	C0132326	Moderate
C0031507	C0070563	Moderate
C1311070	C1701455	Moderate
C0021735	C2973446	Moderate
C0020740	C0528166	Unknown
C0036079	C0040374	Moderate
C0023660	C0025381	Minor
C0001927	C0529793	Unknown
C0051150	C0525227	Moderate
C0014806	C0060405	Unknown
C1145760	C2353951	Moderate
C0015620	C0019134	Unknown
C0085217	C0210657	Moderate
C0002600	C0063041	Unknown
C0022635	C1516119	Unknown
C0012373	C0765273	Moderate
C1832049	C4733494	Moderate
C0010192	C0031937	Moderate
C0007299	C0061323	Moderate
C0937846	C1099456	Moderate
C0085173	C2986922	Major
C0002658	C2348248	Moderate
C0039644	C0907402	Moderate
C0083381	C1099414	Unknown
C0033216	C1721377	Major
C0010980	C0286651	Moderate
C0023660	C0028214	Major
C0035923	C3501358	Major
C0085149	C0143993	Moderate
C0052416	C4045494	Major
C0009076	C3713057	Minor
C0005740	C0076080	Moderate
C0393080	C2714632	Major
C0012091	C3661315	Moderate
C0001655	C0014025	Moderate
C0040934	C2931926	Moderate
C0017628	C4080091	Moderate
C0012702	C0903898	Moderate
C0052940	C0063829	Major
